CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
418846,1,26/08/2009,APKN,Y083756633299,,
893365,2,06/09/2003,MOTH,B069232251370,,
831429,2,26/12/2009,OOTH,P085918211744,,
411707,2,28/10/2008,MOTH,A077301877588,,
414521,2,14/10/2009,CHNE,I073964300941,,
388154,2,11/06/2008,BOTH,V023158284458,,
279660,2,09/02/2009,OOTH,U097932615128,,
629831,2,04/10/2007,BAFR,J093468576125,,
63975,2,09/12/2006,CHNE,N003600836325,,
460752,2,14/11/2008,OOTH,R089951240129,,
425538,1,23/08/2009,WROM,M095814341035,,
164592,2,03/10/2004,MOTH,D061467442844,,
838434,2,12/07/2006,CHNE,J082515354925,,
294875,1,01/03/2004,MWBA,F062141812188,,
895808,1,26/01/2009,BAFR,G000052982093,,
546571,2,04/05/2003,NOBT,O097325077435,,
275069,2,21/02/2008,REFU,C047233588915,,
216649,2,22/04/2004,WIRT,M094850983577,,
755819,2,30/08/2008,CHNE,C098641532391,,
970280,2,02/07/2007,NOBT,E037689757645,,
948155,1,25/11/2006,WIRI,N057905873205,,
397023,2,24/02/2003,OOTH,W009792898792,,
422617,2,08/07/2005,NOBT,F001088721722,,
536218,1,25/07/2009,OOTH,B080852841567,,
871945,1,22/01/2006,APKN,L066704408874,,
92150,2,31/07/2008,ABAN,X075537188636,,
719756,1,27/03/2008,WOTH,G002637750426,,
533989,2,27/11/2002,MWAS,K082258907992,,
731704,2,31/12/2007,AIND,G012866603948,,
236096,2,28/11/2008,MWBA,Y043116630012,,
146596,2,04/11/2003,WIRT,T084635363492,,
46269,2,23/11/2009,REFU,G040660869968,,
905870,1,24/05/2002,BCRB,M000534024714,,
278501,2,20/01/2009,WROM,R014360234551,,
140302,1,16/03/2004,WIRI,Q043462748535,,
122983,1,09/03/2006,AOTH,R029520689140,,
433741,2,05/09/2007,MWAS,R006732373718,,
109036,2,22/09/2004,OOTH,C023816763637,,
519059,1,14/08/2005,MOTH,L062252004368,,
127822,2,14/01/2007,WIRT,G082529607502,,
720102,1,07/09/2007,AIND,N089185129229,,
986890,2,23/10/2003,MOTH,N012106758458,,
625004,1,15/03/2008,WROM,F011614995802,,
951716,1,01/02/2007,WOTH,H028653313898,,
601190,1,03/04/2007,APKN,Y054967331703,,
871541,2,22/08/2009,OOTH,B079212267334,,
948010,1,18/11/2006,WROM,Y089162837635,,
992331,2,05/01/2006,BAFR,Q000523888240,,
647811,1,24/05/2006,MOTH,Y003283235498,,
109200,2,09/08/2008,ABAN,N053378718909,,
583209,1,02/07/2009,WROM,H031895823080,,
582902,1,13/02/2006,APKN,A010069569335,,
73142,1,14/04/2006,WROM,B090324946866,,
893776,1,03/11/2002,AOTH,E090439226140,,
978638,1,03/02/2005,WIRI,W042007626395,,
617686,2,28/11/2006,BOTH,W073455076868,,
19259,2,08/08/2007,WROM,K053655532422,,
326293,1,28/08/2009,AOTH,H050087712692,,
549023,2,05/07/2005,APKN,P019900227986,,
118889,2,16/06/2004,BAFR,H073378260636,,
681893,2,14/10/2005,BOTH,B051123714342,,
306870,1,26/10/2003,REFU,O001367587323,,
729233,2,07/12/2007,OOTH,G004964948238,,
357220,1,30/07/2005,MWBA,X085070923823,,
840802,1,02/12/2005,AOTH,O047182337980,,
952289,1,15/02/2009,WBRI,A093384733452,,
530282,1,29/04/2007,WIRI,G024242807169,,
584671,2,06/08/2008,ABAN,Q072271036671,,
673935,2,11/11/2007,WBRI,L095168493623,,
198564,1,24/10/2005,MWAS,P047275123481,,
373218,2,06/08/2009,WIRT,H032761928047,,
289121,1,09/10/2006,AOTH,U090716398126,,
482840,2,14/01/2005,BOTH,A085653112086,,
850847,2,05/10/2003,APKN,K082991898219,,
355602,1,13/02/2004,WBRI,G080686046097,,
311063,1,28/05/2009,WIRT,B007827604339,,
218168,2,11/07/2004,MWAS,M058030200934,,
711540,1,30/03/2004,BAFR,O017666959736,,
737726,2,17/05/2008,CHNE,L058670690614,,
648057,1,28/06/2009,CHNE,R040595683488,,
866837,1,27/09/2002,OOTH,K098828333896,,
694922,1,19/07/2002,REFU,P094406480310,,
793347,1,17/10/2003,WOTH,G026331179666,,
255201,1,23/11/2007,WIRT,A001522546263,,
928597,2,29/07/2007,MOTH,E056717634618,,
262711,2,14/09/2007,REFU,S081687881585,,
693410,2,24/12/2003,WIRI,R004144869739,,
266902,1,02/05/2004,WROM,N052049038197,,
214178,1,12/09/2002,NOBT,P047203921014,,
830338,1,24/05/2006,AIND,X003972288085,,
632442,1,20/01/2005,MOTH,O071795789800,,
836643,2,22/11/2004,MOTH,I030369349411,,
195764,2,21/02/2004,WROM,H049429355439,,
909944,1,13/04/2002,WIRI,J023829992196,,
440549,2,03/12/2006,MWBA,B064037441287,,
910378,1,13/12/2009,MWAS,B023913612090,,
21847,1,13/02/2004,WROM,Z011993524554,,
413915,2,01/11/2002,AIND,P031181789343,,
631575,1,22/10/2008,WROM,E099716520476,,
192668,1,07/07/2005,MWBC,N000335584658,,
184308,1,01/06/2004,OOTH,F046420651728,,
393387,2,29/01/2006,WIRI,Z058876807681,,
453572,2,27/06/2004,MOTH,I026508187722,,
6415,1,29/08/2006,AIND,F033988734163,,
629818,1,11/08/2002,WIRT,M008861077199,,
648222,1,16/04/2003,WBRI,N051938630525,,
380303,2,19/06/2005,BOTH,X086286406785,,
143799,2,24/02/2008,REFU,N099059840895,,
101362,1,12/02/2008,MWBA,M099454790630,,
679728,2,17/05/2002,BOTH,D058339201817,,
802543,2,05/04/2003,MOTH,O055717133865,,
612940,1,24/11/2005,WOTH,A003822305686,,
717687,2,24/06/2004,WOTH,N011344330592,,
106241,1,24/12/2006,OOTH,U024318220169,,
420134,1,01/11/2002,MWAS,S031429852674,,
688239,2,09/05/2009,WOTH,B027288022182,,
822438,2,26/02/2004,ABAN,W037742180756,,
795289,2,26/03/2009,WBRI,G001550240323,,
479546,2,20/06/2004,WROM,T023616009919,,
878043,2,13/10/2002,AIND,P002609187593,,
836390,1,04/02/2006,MWBC,W045004812806,,
285207,1,06/11/2006,MWBC,J057682867771,,
208004,1,10/08/2008,OOTH,V073576679486,,
567517,1,12/03/2005,WIRI,L053339980268,,
86668,2,04/02/2007,AOTH,Y077084356283,,
369699,2,10/07/2009,AOTH,O025381805764,,
853697,1,23/09/2004,WBRI,X099732345480,,
534492,2,17/08/2006,MOTH,Y048194690939,,
994285,2,13/01/2006,MWAS,P011370238806,,
372509,2,23/07/2009,CHNE,B094429243485,,
655772,2,04/07/2005,WBRI,W081625066459,,
163267,2,09/07/2007,ABAN,V094699942403,,
610919,1,04/06/2002,BAFR,M073610154144,,
379507,2,12/08/2003,OOTH,T026518202090,,
245022,2,30/05/2004,BOTH,R028495108112,,
979997,1,26/08/2006,BOTH,W040869565659,,
933360,1,16/06/2007,BOTH,P008714621502,,
442704,1,22/09/2003,REFU,S075767370222,,
687605,2,19/05/2009,AIND,O058569223152,,
954202,2,10/09/2004,AOTH,X051743978002,,
221218,2,26/06/2006,APKN,V011325960248,,
362033,2,16/08/2004,WIRT,D060707064018,,
34153,2,29/07/2008,WROM,B074698293514,,
447690,1,10/03/2008,AOTH,N042829836086,,
571830,2,04/03/2005,MWAS,F010619698203,,
656076,1,04/09/2007,BAFR,C014158485608,,
159388,2,11/04/2005,WROM,Q056192525057,,
266650,1,11/09/2006,APKN,Y007951826550,,
604407,1,30/05/2008,BAFR,B079431354612,,
406846,2,17/04/2009,MWBC,W043370432142,,
496063,2,04/04/2007,ABAN,D095980736334,,
814087,1,03/07/2007,BCRB,T040175073106,,
16960,1,12/03/2009,APKN,V024089230359,,
295116,2,31/08/2006,MOTH,X091944716008,,
297403,2,21/12/2004,AOTH,Y044995074588,,
309655,1,04/06/2006,REFU,A072993740270,,
636479,2,15/07/2008,MWAS,I021092728856,,
588334,2,30/05/2002,AOTH,D044329249646,,
571007,2,22/09/2009,AOTH,X004460631323,,
869102,1,03/12/2008,WIRI,X078063122799,,
988280,2,09/04/2008,AOTH,P008164917573,,
247698,2,18/05/2004,WBRI,L073046772523,,
528962,2,10/11/2004,BAFR,T061793193706,,
88024,1,05/02/2008,MWAS,S051040920649,,
569582,2,31/03/2005,MOTH,B077382719036,,
